InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
52030,2451,WHITE HANGING HEART T-LIGHT HOLDER,6,12-01-2010 08:26,2.55,87456
52031,2452,WHITE METAL LANTERN,7,12-01-2010 08:26,2.55,87457
52032,2453,CREAM CUPID HEARTS COAT HANGER,8,12-01-2010 08:26,2.55,87458
52033,2454,KNITTED UNION FLAG HOT WATER BOTTLE,9,12-01-2010 08:26,2.55,87459
52034,2455,RED WOOLLY HOTTIE WHITE HEART.,10,12-01-2010 08:26,2.55,87460
52035,2456,SET 7 BABUSHKA NESTING BOXES,11,12-01-2010 08:26,2.55,87461
52036,2457,GLASS STAR FROSTED T-LIGHT HOLDER,12,12-01-2010 08:26,2.55,87462
52037,2458,HAND WARMER UNION JACK,13,12-01-2010 08:28,2.55,87463
52038,2459,HAND WARMER RED POLKA DOT,14,12-01-2010 08:28,2.55,87464
52039,2460,ASSORTED COLOUR BIRD ORNAMENT,15,12-01-2010 08:34,2.55,87465
52040,2461,POPPY'S PLAYHOUSE BEDROOM ,16,12-01-2010 08:34,2.55,87466
52041,2462,POPPY'S PLAYHOUSE KITCHEN,17,12-01-2010 08:34,2.55,87467
52042,2463,FELTCRAFT PRINCESS CHARLOTTE DOLL,18,12-01-2010 08:34,2.55,87468
52043,2464,IVORY KNITTED MUG COSY ,19,12-01-2010 08:34,2.55,87469
52044,2465,BOX OF 6 ASSORTED COLOUR TEASPOONS,20,12-01-2010 08:34,2.55,87470
52045,2466,BOX OF VINTAGE JIGSAW BLOCKS ,21,12-01-2010 08:34,2.55,87471
52046,2467,BOX OF VINTAGE ALPHABET BLOCKS,22,12-01-2010 08:34,2.55,87472
52047,2468,HOME BUILDING BLOCK WORD,23,12-01-2010 08:34,2.55,87473
52048,2469,LOVE BUILDING BLOCK WORD,24,12-01-2010 08:34,2.55,87474
52049,2470,RECIPE BOX WITH METAL HEART,25,12-01-2010 08:34,2.55,87475
52050,2471,DOORMAT NEW ENGLAND,6,12-01-2010 08:34,2.55,87476
52051,2472,JAM MAKING SET WITH JARS,7,12-01-2010 08:34,2.55,87477
52052,2473,RED COAT RACK PARIS FASHION,8,12-01-2010 08:34,2.55,87478
52053,2474,YELLOW COAT RACK PARIS FASHION,9,12-01-2010 08:34,2.55,87479
52054,2475,BLUE COAT RACK PARIS FASHION,10,12-01-2010 08:34,2.55,87480
52055,2476,BATH BUILDING BLOCK WORD,11,12-01-2010 08:35,2.55,87481
52056,2477,ALARM CLOCK BAKELIKE PINK,12,12-01-2010 08:45,2.55,87482
52057,2478,ALARM CLOCK BAKELIKE RED ,13,12-01-2010 08:45,2.55,87483
52058,2479,ALARM CLOCK BAKELIKE GREEN,14,12-01-2010 08:45,2.55,87484
52059,2480,PANDA AND BUNNIES STICKER SHEET,15,12-01-2010 08:45,2.55,87485
52060,2481,STARS GIFT TAPE ,16,12-01-2010 08:45,2.55,87486
52061,2482,INFLATABLE POLITICAL GLOBE ,17,12-01-2010 08:45,2.55,87487
52062,2483,VINTAGE HEADS AND TAILS CARD GAME ,18,12-01-2010 08:45,2.55,87488
52063,2484,SET/2 RED RETROSPOT TEA TOWELS ,19,12-01-2010 08:45,2.55,87489
52064,2485,ROUND SNACK BOXES SET OF4 WOODLAND ,20,12-01-2010 08:45,2.55,87490
52065,2486,SPACEBOY LUNCH BOX ,21,12-01-2010 08:45,2.55,87491
52066,2487,LUNCH BOX I LOVE LONDON,22,12-01-2010 08:45,2.55,87492
52067,2488,CIRCUS PARADE LUNCH BOX ,23,12-01-2010 08:45,2.55,87493
52068,2489,CHARLOTTE BAG DOLLY GIRL DESIGN,24,12-01-2010 08:45,2.55,87494
52069,2490,RED TOADSTOOL LED NIGHT LIGHT,25,12-01-2010 08:45,2.55,87495
52070,2491, SET 2 TEA TOWELS I LOVE LONDON ,6,12-01-2010 08:45,2.55,87496
